
W1 -  CPI Weights: 2008 to 2026																															
 parts per 1000																															
2015=100																															

			2008	2009	2010	2011	2012	2013	2014	2015	2016	"2017 
Jan"	"2017 
Feb-Dec"	"2018
Jan"	"2018 
Feb-Dec"	"2019
Jan"	"2019 
Feb-Dec"	"2020
Jan"	"2020
Feb-Dec"	"2021
Jan"	"2021
Feb-Dec"	"2022
Jan"	"2022
Feb-Dec"	"2023
Jan"	"2023
Feb-Dec"	"20241
Jan"	"20241
Feb-Dec"	"20251
Jan"	"20251
Feb-Dec"	"20261
Jan"	"20261
Feb-Dec"
	L84V	01.1.5.3 Olive oil	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.52	0.52	0.52	0.52	0.60	0.60	0.52	0.52	0.78	0.58	0.58	0.60	0.69	0.69	1.00	1.08	1.0600	1.0734	1.1442	1.0989	0.6903	0.6792
	CJWG	 01.1.6 Fruit	9	10	9	12	9	9	10	10	9	9	9	9	9	10	10	11	11	12	12	11	11	10	10	9.5001	9.5811	9.7271	9.7484	9.4652	9.5718
	L84W	01.1.6.1 Fresh or chilled fruit	 ..	 ..	 ..	 ..	 ..	 ..	 ..	7.20	7.20	7.20	7.20	7.29	7.29	8.20	8.20	8.91	8.91	9.72	9.72	8.80	8.80	7.90	7.90	7.5542	7.6077	7.5649	7.5708	7.5636	7.6214
	L84X	01.1.6.3 Dried fruit and nuts	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.44	1.44	1.44	1.44	1.35	1.35	1.40	1.40	1.65	1.65	1.80	1.80	1.76	1.76	1.60	1.60	1.5534	1.5792	1.7476	1.7597	1.5243	1.5668
	L852	01.1.6.4 Preserved fruit and fruit-based products	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.36	0.36	0.36	0.36	0.36	0.36	0.40	0.40	0.44	0.44	0.48	0.48	0.44	0.44	0.50	0.50	0.3926	0.3942	0.4147	0.4180	0.3773	0.3836
	CJWH	 01.1.7 Vegetables including potatoes and tubers	15	16	15	16	15	14	15	14	13	13	13	13	13	13	13	13	13	15	15	16	16	15	15	14.7108	14.7858	15.2128	15.2309	15.1646	15.2253
	L853	01.1.7.1 Fresh or chilled vegetables other than potatoes and other tubers 	 ..	 ..	 ..	 ..	 ..	 ..	 ..	5.74	5.33	5.33	5.33	5.33	5.33	5.33	5.33	5.20	5.33	6.00	6.00	6.24	6.24	5.70	5.70	5.5578	5.6323	5.8163	5.8751	5.8652	5.9440
	L856	01.1.7.2 Frozen vegetables other than potatoes and other tubers 	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.56	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.52	0.60	0.45	0.48	0.48	0.45	0.45	0.4945	0.4901	0.5069	0.5109	0.4995	0.5034
	L857	01.1.7.3 Dried vegetables, other preserved or processed vegetables	 ..	 ..	 ..	 ..	 ..	 ..	 ..	1.82	1.69	1.69	1.69	1.69	1.69	1.69	1.69	1.69	1.69	2.10	2.10	2.40	2.24	2.25	2.10	2.0206	1.9511	1.8993	1.8569	1.8169	1.8030
	L858	01.1.7.4 Potatoes	 ..	 ..	 ..	 ..	 ..	 ..	 ..	2.38	2.21	2.21	2.21	2.21	2.21	2.21	2.21	2.21	2.08	2.25	2.25	2.24	2.24	2.10	2.25	2.2270	2.2373	2.3877	2.3074	2.2561	2.2690
	L859	01.1.7.5 Crisps	 ..	 ..	 ..	 ..	 ..	 ..	 ..	3.22	2.99	2.99	2.99	2.99	2.99	2.99	2.99	3.12	3.12	3.75	3.90	4.32	4.48	4.20	4.20	4.1424	4.2059	4.3184	4.3959	4.4481	4.4242
	L85A	01.1.7.6 Other tubers and products of tuber vegetables	 ..	 ..	 ..	 ..	 ..	 ..	 ..	0.28	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.30	0.30	0.32	0.32	0.30	0.30	0.2685	0.2691	0.2841	0.2847	0.2788	0.2817
